vehicle_class,entrance_site,exit_site,price
H2,15,17,2.63
H2,15,18,4.04
H2,15,19,5.4
H2,15,20,6.27
H2,15,21,7.39
H2,15,22,9.26
H2,15,23,9.88
H2,15,24,10.41
H2,15,25,10.94
H2,15,26,11.68
H2,15,27,12.69
H2,15,28,13.45
H2,15,29,14.5
H2,15,30,16.77
H2,15,31,17.94
H2,15,32,18.87
H2,15,33,19.7
H2,15,34,20.48
H2,15,35,22.02
H2,15,36,22.37
H2,15,37,22.45
H2,15,38,22.64
H2,15,39,22.95
H2,15,40,24.25
H2,15,41,25.69
H2,15,42,26.28
H2,15,43,27.43
H2,15,44,28.05
H2,15,45,28.39
H2,15,46,29.4
H2,15,47,30.83
H2,15,48,31.86
H2,15,49,34.26
H2,15,50,34.53
H2,15,21B,8.34
H2,15,25A,10.41
H2,15,29A,15.97
H2,15,34A,21.81
H2,15,48A,32.88
H2,15,B1,10.77
H2,15,B2,11.53
H2,15,B3,12.34
H2,16,15,1.9
H2,16,17,1.32
H2,16,18,2.73
H2,16,19,4.09
H2,16,20,4.97
H2,16,21,6.09
H2,16,22,7.95
H2,16,23,8.57
H2,16,24,9.1
H2,16,25,9.63
H2,16,26,10.37
H2,16,27,11.38
H2,16,28,12.14
H2,16,29,13.19
H2,16,30,15.46
H2,16,31,16.63
H2,16,32,17.56
H2,16,33,18.39
H2,16,34,19.17
H2,16,35,20.71
H2,16,36,21.06
H2,16,37,21.14
H2,16,38,21.33
H2,16,40,22.94
H2,16,41,24.38
H2,16,43,26.12
H2,16,45,27.08
H2,16,46,28.09
H2,16,49,32.95
H2,16,50,33.22
H2,16,16H,0
H2,16,21B,7.03
H2,16,25A,9.1
H2,16,29A,14.66
H2,16,34A,20.5
H2,16,B1,9.47
H2,16,B3,11.03
H2,17,15,2.63
H2,17,18,1.41
H2,17,19,2.77
H2,17,20,3.65
H2,17,21,4.77
H2,17,22,6.63
H2,17,23,7.25
H2,17,24,7.78
H2,17,25,8.31
H2,17,26,9.05
H2,17,27,10.06
H2,17,28,10.82
H2,17,29,11.87
H2,17,30,14.14
H2,17,31,15.31
H2,17,32,16.24
H2,17,33,17.07
H2,17,34,17.85
H2,17,35,19.39
H2,17,36,19.74
H2,17,37,19.82
H2,17,38,20.01
H2,17,39,20.32
H2,17,40,21.62
H2,17,41,23.06
H2,17,42,23.65
H2,17,43,24.8
H2,17,44,25.42
H2,17,45,25.76
H2,17,46,26.77
H2,17,47,28.2
H2,17,48,29.23
H2,17,49,31.63
H2,17,50,31.9
H2,17,16H,1.32
H2,17,21B,5.71
H2,17,25A,7.78
H2,17,29A,13.34
H2,17,34A,19.18
H2,17,48A,30.25
H2,17,B1,8.15
H2,17,B2,8.9
H2,17,B3,9.71
H2,18,15,4.04
H2,18,17,1.41
H2,18,19,1.36
H2,18,20,2.24
H2,18,21,3.36
H2,18,22,5.22
H2,18,23,5.84
H2,18,24,6.37
H2,18,25,6.9
H2,18,26,7.64
H2,18,27,8.65
H2,18,28,9.41
H2,18,29,10.46
H2,18,30,12.73
H2,18,31,13.9
H2,18,32,14.83
H2,18,33,15.66
H2,18,34,16.44
H2,18,35,17.98
H2,18,36,18.33
H2,18,37,18.41
H2,18,38,18.6
H2,18,39,18.91
H2,18,40,20.21
H2,18,41,21.65
H2,18,42,22.24
H2,18,43,23.39
H2,18,44,24.01
H2,18,45,24.35
H2,18,46,25.36
H2,18,47,26.79
H2,18,48,27.82
H2,18,49,30.22
H2,18,50,30.49
H2,18,16H,2.73
H2,18,21B,4.3
H2,18,25A,6.37
H2,18,29A,11.93
H2,18,34A,17.77
H2,18,48A,28.84
H2,18,B1,6.74
H2,18,B2,7.49
H2,18,B3,8.3
H2,19,15,5.4
H2,19,17,2.77
H2,19,18,1.36
H2,19,20,0.88
H2,19,21,2
H2,19,22,3.86
H2,19,23,4.48
H2,19,24,5.01
H2,19,25,5.54
H2,19,26,6.28
H2,19,27,7.29
H2,19,28,8.05
H2,19,29,9.1
H2,19,30,11.37
H2,19,31,12.54
H2,19,32,13.47
H2,19,33,14.3
H2,19,34,15.08
H2,19,35,16.62
H2,19,36,16.97
H2,19,37,17.05
H2,19,38,17.24
H2,19,39,17.55
H2,19,40,18.85
H2,19,41,20.29
H2,19,42,20.88
H2,19,43,22.03
H2,19,44,22.65
H2,19,45,22.99
H2,19,46,24
H2,19,47,25.43
H2,19,48,26.46
H2,19,49,28.86
H2,19,50,29.13
H2,19,16H,4.09
H2,19,21B,2.94
H2,19,25A,5.01
H2,19,29A,10.57
H2,19,34A,16.41
H2,19,48A,27.48
H2,19,B1,5.37
H2,19,B2,6.13
H2,19,B3,6.94
H2,20,15,6.27
H2,20,17,3.65
H2,20,18,2.24
H2,20,19,0.88
H2,20,21,1.12
H2,20,22,2.98
H2,20,23,3.6
H2,20,24,4.13
H2,20,25,4.66
H2,20,26,5.4
H2,20,27,6.41
H2,20,28,7.17
H2,20,29,8.22
H2,20,30,10.49
H2,20,31,11.66
H2,20,32,12.59
H2,20,33,13.42
H2,20,34,14.2
H2,20,35,15.74
H2,20,36,16.09
H2,20,37,16.17
H2,20,38,16.36
H2,20,39,16.67
H2,20,40,17.97
H2,20,41,19.41
H2,20,42,20
H2,20,43,21.15
H2,20,44,21.77
H2,20,45,22.11
H2,20,46,23.12
H2,20,47,24.55
H2,20,48,25.58
H2,20,49,27.98
H2,20,50,28.25
H2,20,16H,4.97
H2,20,21B,2.06
H2,20,25A,4.13
H2,20,29A,9.69
H2,20,34A,15.53
H2,20,48A,26.6
H2,20,B1,4.5
H2,20,B2,5.25
H2,20,B3,6.07
H2,21,15,7.39
H2,21,17,4.77
H2,21,18,3.36
H2,21,19,2
H2,21,20,1.12
H2,21,22,1.86
H2,21,23,2.48
H2,21,24,3.01
H2,21,25,3.54
H2,21,26,4.28
H2,21,27,5.29
H2,21,28,6.05
H2,21,29,7.1
H2,21,30,9.37
H2,21,31,10.54
H2,21,32,11.47
H2,21,33,12.3
H2,21,34,13.08
H2,21,35,14.62
H2,21,36,14.97
H2,21,37,15.05
H2,21,38,15.24
H2,21,39,15.55
H2,21,40,16.85
H2,21,41,18.29
H2,21,42,18.88
H2,21,43,20.03
H2,21,44,20.65
H2,21,45,20.99
H2,21,46,22
H2,21,48,24.46
H2,21,49,26.86
H2,21,50,27.13
H2,21,16H,6.09
H2,21,21B,0.94
H2,21,25A,3.01
H2,21,29A,8.57
H2,21,34A,14.41
H2,21,48A,25.48
H2,21,B1,3.38
H2,21,B2,4.13
H2,21,B3,4.95
H2,22,15,9.26
H2,22,17,6.63
H2,22,18,5.22
H2,22,19,3.86
H2,22,20,2.98
H2,22,21,1.86
H2,22,23,0.62
H2,22,24,1.15
H2,22,25,1.68
H2,22,26,2.42
H2,22,27,3.43
H2,22,28,4.19
H2,22,29,5.24
H2,22,30,7.51
H2,22,31,8.68
H2,22,32,9.61
H2,22,33,10.44
H2,22,34,11.22
H2,22,35,12.76
H2,22,36,13.11
H2,22,37,13.19
H2,22,38,13.38
H2,22,39,13.69
H2,22,40,14.99
H2,22,41,16.43
H2,22,43,18.17
H2,22,44,18.79
H2,22,45,19.13
H2,22,46,20.14
H2,22,47,21.57
H2,22,49,25
H2,22,50,25.27
H2,22,16H,7.95
H2,22,21B,0.92
H2,22,25A,1.15
H2,22,29A,6.71
H2,22,34A,12.55
H2,22,48A,23.62
H2,22,B1,1.75
H2,22,B2,2.5
H2,22,B3,3.32
H2,23,15,9.88
H2,23,17,7.25
H2,23,18,5.84
H2,23,19,4.48
H2,23,20,3.6
H2,23,21,2.48
H2,23,22,0.62
H2,23,24,0.53
H2,23,25,1.06
H2,23,26,1.8
H2,23,27,2.81
H2,23,28,3.57
H2,23,29,4.62
H2,23,30,6.89
H2,23,31,8.06
H2,23,32,8.99
H2,23,33,9.82
H2,23,34,10.6
H2,23,35,12.14
H2,23,36,12.49
H2,23,37,12.57
H2,23,38,12.76
H2,23,39,13.07
H2,23,40,14.37
H2,23,41,15.81
H2,23,42,16.4
H2,23,43,17.55
H2,23,44,18.17
H2,23,45,18.51
H2,23,46,19.52
H2,23,47,20.95
H2,23,48,21.98
H2,23,49,24.38
H2,23,50,24.65
H2,23,16H,8.57
H2,23,21B,1.54
H2,23,25A,0.53
H2,23,29A,6.09
H2,23,34A,11.93
H2,23,48A,23
H2,23,B1,2.37
H2,23,B2,3.12
H2,23,B3,3.94
H2,24,15,10.41
H2,24,17,7.78
H2,24,18,6.37
H2,24,19,5.01
H2,24,20,4.13
H2,24,21,3.01
H2,24,22,1.15
H2,24,23,0.53
H2,24,25,0.53
H2,24,26,1.27
H2,24,27,2.28
H2,24,28,3.04
H2,24,29,4.09
H2,24,30,6.36
H2,24,31,7.53
H2,24,32,8.46
H2,24,33,9.29
H2,24,34,10.07
H2,24,35,11.61
H2,24,36,11.96
H2,24,37,12.04
H2,24,38,12.23
H2,24,39,12.54
H2,24,40,13.84
H2,24,41,15.28
H2,24,42,15.87
H2,24,43,17.02
H2,24,44,17.64
H2,24,45,17.98
H2,24,46,18.99
H2,24,47,20.42
H2,24,48,21.45
H2,24,49,23.85
H2,24,50,24.12
H2,24,16H,9.1
H2,24,21B,2.07
H2,24,25A,0
H2,24,29A,5.56
H2,24,34A,11.4
H2,24,48A,22.47
H2,24,B1,2.9
H2,24,B2,3.65
H2,24,B3,4.47
H2,25,15,10.94
H2,25,17,8.31
H2,25,18,6.9
H2,25,19,5.54
H2,25,20,4.66
H2,25,21,3.54
H2,25,22,1.68
H2,25,23,1.06
H2,25,24,0.53
H2,25,26,0.74
H2,25,27,1.75
H2,25,28,2.51
H2,25,29,3.56
H2,25,30,5.83
H2,25,31,7
H2,25,32,7.93
H2,25,33,8.76
H2,25,34,9.54
H2,25,35,11.08
H2,25,36,11.43
H2,25,37,11.51
H2,25,38,11.7
H2,25,39,12.01
H2,25,40,13.31
H2,25,41,14.75
H2,25,42,15.34
H2,25,43,16.49
H2,25,44,17.11
H2,25,45,17.45
H2,25,46,18.46
H2,25,47,19.89
H2,25,48,20.92
H2,25,49,23.32
H2,25,50,23.59
H2,25,16H,9.63
H2,25,21B,2.6
H2,25,25A,0
H2,25,29A,5.03
H2,25,34A,10.87
H2,25,48A,21.94
H2,25,B1,3.43
H2,25,B2,4.18
H2,25,B3,5
H2,26,15,11.68
H2,26,17,9.05
H2,26,18,7.64
H2,26,19,6.28
H2,26,20,5.4
H2,26,21,4.28
H2,26,22,2.42
H2,26,23,1.8
H2,26,24,1.27
H2,26,25,0.74
H2,26,27,1.01
H2,26,28,1.77
H2,26,29,2.82
H2,26,30,5.09
H2,26,31,6.26
H2,26,32,7.19
H2,26,33,8.02
H2,26,34,8.8
H2,26,35,10.34
H2,26,36,10.69
H2,26,37,10.77
H2,26,38,10.96
H2,26,39,11.27
H2,26,40,12.57
H2,26,41,14.01
H2,26,42,14.6
H2,26,43,15.75
H2,26,44,16.37
H2,26,45,16.71
H2,26,46,17.72
H2,26,47,19.15
H2,26,48,20.18
H2,26,49,22.58
H2,26,50,22.85
H2,26,16H,10.37
H2,26,21B,3.34
H2,26,25A,0
H2,26,29A,4.29
H2,26,34A,10.13
H2,26,48A,21.2
H2,26,B1,4.17
H2,26,B2,4.92
H2,26,B3,5.74
H2,27,15,12.69
H2,27,17,10.06
H2,27,18,8.65
H2,27,19,7.29
H2,27,20,6.41
H2,27,21,5.29
H2,27,22,3.43
H2,27,23,2.81
H2,27,24,2.28
H2,27,25,1.75
H2,27,26,1.01
H2,27,28,0.76
H2,27,29,1.82
H2,27,30,4.09
H2,27,31,5.25
H2,27,32,6.18
H2,27,33,7.01
H2,27,34,7.79
H2,27,35,9.33
H2,27,36,9.68
H2,27,37,9.76
H2,27,38,9.95
H2,27,39,10.26
H2,27,40,11.56
H2,27,41,13
H2,27,42,13.59
H2,27,43,14.74
H2,27,44,15.36
H2,27,45,15.7
H2,27,46,16.71
H2,27,47,18.14
H2,27,48,19.17
H2,27,49,21.57
H2,27,50,21.84
H2,27,16H,11.38
H2,27,21B,4.35
H2,27,25A,1.01
H2,27,29A,3.28
H2,27,34A,9.12
H2,27,48A,20.19
H2,27,B1,5.18
H2,27,B2,5.93
H2,27,B3,6.75
H2,28,15,13.45
H2,28,17,10.82
H2,28,18,9.41
H2,28,19,8.05
H2,28,20,7.17
H2,28,21,6.05
H2,28,22,4.19
H2,28,23,3.57
H2,28,24,3.04
H2,28,25,2.51
H2,28,26,1.77
H2,28,27,0.76
H2,28,29,1.06
H2,28,30,3.33
H2,28,31,4.49
H2,28,32,5.42
H2,28,33,6.25
H2,28,34,7.03
H2,28,35,8.57
H2,28,36,8.92
H2,28,37,9
H2,28,38,9.19
H2,28,39,9.5
H2,28,40,10.8
H2,28,41,12.24
H2,28,42,12.83
H2,28,43,13.98
H2,28,44,14.6
H2,28,45,14.94
H2,28,46,15.95
H2,28,47,17.38
H2,28,48,18.41
H2,28,49,20.81
H2,28,50,21.08
H2,28,16H,12.14
H2,28,21B,5.11
H2,28,25A,1.77
H2,28,29A,2.52
H2,28,34A,8.36
H2,28,48A,19.43
H2,28,B1,5.94
H2,28,B2,6.69
H2,28,B3,7.51
H2,29,15,14.5
H2,29,17,11.87
H2,29,18,10.46
H2,29,19,9.1
H2,29,20,8.22
H2,29,21,7.1
H2,29,22,5.24
H2,29,23,4.62
H2,29,24,4.09
H2,29,25,3.56
H2,29,26,2.82
H2,29,27,1.82
H2,29,28,1.06
H2,29,30,2.27
H2,29,31,3.43
H2,29,32,4.37
H2,29,33,5.19
H2,29,34,5.97
H2,29,35,7.52
H2,29,36,7.87
H2,29,37,7.95
H2,29,38,8.14
H2,29,39,8.45
H2,29,40,9.75
H2,29,41,11.19
H2,29,42,11.78
H2,29,43,12.93
H2,29,44,13.55
H2,29,45,13.89
H2,29,46,14.9
H2,29,47,16.33
H2,29,48,17.36
H2,29,49,19.76
H2,29,50,20.03
H2,29,16H,13.19
H2,29,21B,6.16
H2,29,25A,2.82
H2,29,29A,1.46
H2,29,34A,7.31
H2,29,48A,18.38
H2,29,B1,6.99
H2,29,B2,7.74
H2,29,B3,8.56
H2,30,15,16.77
H2,30,17,14.14
H2,30,18,12.73
H2,30,19,11.37
H2,30,20,10.49
H2,30,21,9.37
H2,30,22,7.51
H2,30,23,6.89
H2,30,24,6.36
H2,30,25,5.83
H2,30,26,5.09
H2,30,27,4.09
H2,30,28,3.33
H2,30,29,2.27
H2,30,31,1.17
H2,30,32,2.1
H2,30,33,2.92
H2,30,34,3.7
H2,30,35,5.25
H2,30,36,5.6
H2,30,37,5.68
H2,30,38,5.87
H2,30,39,6.18
H2,30,40,7.48
H2,30,41,8.92
H2,30,42,9.51
H2,30,43,10.66
H2,30,44,11.28
H2,30,45,11.62
H2,30,46,12.63
H2,30,47,14.06
H2,30,48,15.09
H2,30,49,17.49
H2,30,50,17.76
H2,30,16H,15.46
H2,30,21B,8.43
H2,30,25A,5.09
H2,30,29A,0.8
H2,30,34A,5.04
H2,30,48A,16.11
H2,30,B1,9.26
H2,30,B2,10.01
H2,30,B3,10.83
H2,31,15,17.94
H2,31,17,15.31
H2,31,18,13.9
H2,31,19,12.54
H2,31,20,11.66
H2,31,21,10.54
H2,31,22,8.68
H2,31,23,8.06
H2,31,24,7.53
H2,31,25,7
H2,31,26,6.26
H2,31,27,5.25
H2,31,28,4.49
H2,31,29,3.43
H2,31,30,1.17
H2,31,32,0.93
H2,31,33,1.76
H2,31,34,2.54
H2,31,35,4.08
H2,31,36,4.43
H2,31,37,4.51
H2,31,38,4.7
H2,31,39,5.01
H2,31,40,6.31
H2,31,41,7.75
H2,31,42,8.34
H2,31,43,9.49
H2,31,44,10.11
H2,31,45,10.45
H2,31,46,11.46
H2,31,47,12.89
H2,31,48,13.92
H2,31,49,16.32
H2,31,50,16.59
H2,31,16H,16.63
H2,31,21B,9.6
H2,31,25A,6.26
H2,31,29A,1.97
H2,31,34A,3.87
H2,31,48A,14.94
H2,31,B1,10.43
H2,31,B2,11.18
H2,31,B3,12
H2,32,15,18.87
H2,32,17,16.24
H2,32,18,14.83
H2,32,19,13.47
H2,32,20,12.59
H2,32,21,11.47
H2,32,22,9.61
H2,32,23,8.99
H2,32,24,8.46
H2,32,25,7.93
H2,32,26,7.19
H2,32,27,6.18
H2,32,28,5.42
H2,32,29,4.37
H2,32,30,2.1
H2,32,31,0.93
H2,32,33,0.83
H2,32,34,1.61
H2,32,35,3.15
H2,32,36,3.5
H2,32,37,3.58
H2,32,38,3.77
H2,32,39,4.08
H2,32,40,5.38
H2,32,41,6.82
H2,32,42,7.41
H2,32,43,8.56
H2,32,44,9.18
H2,32,45,9.52
H2,32,46,10.53
H2,32,47,11.96
H2,32,48,12.99
H2,32,49,15.39
H2,32,50,15.66
H2,32,16H,17.56
H2,32,21B,10.53
H2,32,25A,7.19
H2,32,29A,2.9
H2,32,34A,2.94
H2,32,48A,14.01
H2,32,B1,11.36
H2,32,B2,12.11
H2,32,B3,12.93
H2,33,15,19.7
H2,33,17,17.07
H2,33,18,15.66
H2,33,19,14.3
H2,33,20,13.42
H2,33,21,12.3
H2,33,22,10.44
H2,33,23,9.82
H2,33,24,9.29
H2,33,25,8.76
H2,33,26,8.02
H2,33,27,7.01
H2,33,28,6.25
H2,33,29,5.19
H2,33,30,2.92
H2,33,31,1.76
H2,33,32,0.83
H2,33,34,0.78
H2,33,35,2.32
H2,33,36,2.67
H2,33,37,2.75
H2,33,38,2.94
H2,33,39,3.25
H2,33,40,4.55
H2,33,41,5.99
H2,33,42,6.58
H2,33,43,7.73
H2,33,44,8.35
H2,33,45,8.69
H2,33,46,9.7
H2,33,47,11.13
H2,33,48,12.16
H2,33,49,14.56
H2,33,50,14.83
H2,33,16H,18.39
H2,33,21B,11.36
H2,33,25A,8.02
H2,33,29A,3.73
H2,33,34A,2.11
H2,33,48A,13.18
H2,33,B1,12.19
H2,33,B2,12.94
H2,33,B3,13.76
H2,34,15,20.48
H2,34,17,17.85
H2,34,18,16.44
H2,34,19,15.08
H2,34,20,14.2
H2,34,21,13.08
H2,34,22,11.22
H2,34,23,10.6
H2,34,24,10.07
H2,34,25,9.54
H2,34,26,8.8
H2,34,27,7.79
H2,34,28,7.03
H2,34,29,5.97
H2,34,30,3.7
H2,34,31,2.54
H2,34,32,1.61
H2,34,33,0.78
H2,34,35,1.55
H2,34,36,1.9
H2,34,37,1.98
H2,34,38,2.17
H2,34,39,2.48
H2,34,40,3.78
H2,34,41,5.22
H2,34,42,5.81
H2,34,43,6.96
H2,34,44,7.58
H2,34,45,7.92
H2,34,46,8.93
H2,34,47,10.36
H2,34,48,11.39
H2,34,49,13.79
H2,34,50,14.06
H2,34,16H,19.17
H2,34,21B,12.14
H2,34,25A,8.8
H2,34,29A,4.51
H2,34,34A,1.34
H2,34,48A,12.41
H2,34,B1,12.97
H2,34,B2,13.72
H2,34,B3,14.54
H2,35,15,22.02
H2,35,17,19.39
H2,35,18,17.98
H2,35,19,16.62
H2,35,20,15.74
H2,35,21,14.62
H2,35,22,12.76
H2,35,23,12.14
H2,35,24,11.61
H2,35,25,11.08
H2,35,26,10.34
H2,35,27,9.33
H2,35,28,8.57
H2,35,29,7.52
H2,35,30,5.25
H2,35,31,4.08
H2,35,32,3.15
H2,35,33,2.32
H2,35,34,1.55
H2,35,36,0.35
H2,35,37,0.43
H2,35,38,0.62
H2,35,39,0.93
H2,35,40,2.23
H2,35,41,3.67
H2,35,42,4.26
H2,35,43,5.41
H2,35,44,6.03
H2,35,45,6.37
H2,35,46,7.38
H2,35,47,8.81
H2,35,48,9.84
H2,35,49,12.24
H2,35,50,12.51
H2,35,16H,20.71
H2,35,21B,13.68
H2,35,25A,10.34
H2,35,29A,6.05
H2,35,34A,0.21
H2,35,48A,10.86
H2,35,B1,14.51
H2,35,B2,15.26
H2,35,B3,16.08
H2,36,15,22.37
H2,36,17,19.74
H2,36,18,18.33
H2,36,19,16.97
H2,36,20,16.09
H2,36,21,14.97
H2,36,22,13.11
H2,36,23,12.49
H2,36,24,11.96
H2,36,25,11.43
H2,36,26,10.69
H2,36,27,9.68
H2,36,28,8.92
H2,36,29,7.87
H2,36,30,5.6
H2,36,31,4.43
H2,36,32,3.5
H2,36,33,2.67
H2,36,34,1.9
H2,36,35,0.35
H2,36,37,0.08
H2,36,38,0.27
H2,36,39,0.58
H2,36,40,1.88
H2,36,41,3.32
H2,36,42,3.91
H2,36,43,5.06
H2,36,44,5.68
H2,36,45,6.02
H2,36,46,7.03
H2,36,47,8.46
H2,36,48,9.49
H2,36,49,11.89
H2,36,50,12.16
H2,36,21B,14.03
H2,36,25A,10.69
H2,36,29A,6.4
H2,36,34A,0.56
H2,36,48A,10.51
H2,36,B1,14.86
H2,36,B2,15.61
H2,36,B3,16.43
H2,37,15,22.45
H2,37,17,19.82
H2,37,18,18.41
H2,37,19,17.05
H2,37,20,16.17
H2,37,21,15.05
H2,37,22,13.19
H2,37,23,12.57
H2,37,24,12.04
H2,37,25,11.51
H2,37,26,10.77
H2,37,27,9.76
H2,37,28,9
H2,37,29,7.95
H2,37,30,5.68
H2,37,31,4.51
H2,37,32,3.58
H2,37,33,2.75
H2,37,34,1.98
H2,37,35,0.43
H2,37,36,0.08
H2,37,38,0.19
H2,37,39,0.51
H2,37,40,1.81
H2,37,41,3.25
H2,37,42,3.84
H2,37,43,4.99
H2,37,44,5.61
H2,37,45,5.95
H2,37,46,6.96
H2,37,47,8.39
H2,37,48,9.42
H2,37,49,11.82
H2,37,50,12.09
H2,37,16H,21.14
H2,37,21B,14.11
H2,37,25A,10.77
H2,37,29A,6.48
H2,37,34A,0.64
H2,37,48A,10.44
H2,37,B1,14.94
H2,37,B2,15.69
H2,37,B3,16.51
H2,38,15,22.64
H2,38,17,20.01
H2,38,18,18.6
H2,38,19,17.24
H2,38,20,16.36
H2,38,21,15.24
H2,38,22,13.38
H2,38,23,12.76
H2,38,24,12.23
H2,38,25,11.7
H2,38,26,10.96
H2,38,27,9.95
H2,38,28,9.19
H2,38,29,8.14
H2,38,30,5.87
H2,38,31,4.7
H2,38,32,3.77
H2,38,33,2.94
H2,38,34,2.17
H2,38,35,0.62
H2,38,36,0.27
H2,38,37,0.19
H2,38,39,0.32
H2,38,40,1.62
H2,38,41,3.06
H2,38,42,3.65
H2,38,43,4.8
H2,38,44,5.42
H2,38,45,5.76
H2,38,46,6.77
H2,38,47,8.2
H2,38,48,9.23
H2,38,49,11.63
H2,38,50,11.9
H2,38,21B,14.3
H2,38,25A,10.96
