vehicle_class,entrance_site,exit_site,percentage
2H,15,24,0.104016602
2H,15,15,0
2H,15,21,0.036776101
2H,15,18,0.068058385
2H,15,17,0.593319535
2H,15,23,0.06322641
2H,15,19,0.087624835
2H,15,B1,0.005800522
2H,15,22,0.002794438
2H,15,B3,0.012942662
2H,15,21B,0.009084615
2H,15,16H,0
2H,15,20,0.015912874
2H,15,B2,0.000443021
2H,16,24,0.035222073
2H,16,15,0.021843876
2H,16,21,0.013485868
2H,16,18,0.094979812
2H,16,17,0.686554509
2H,16,23,0.02602961
2H,16,19,0.04820996
2H,16,B1,0.002328398
2H,16,22,0.001830417
2H,16,B3,0.005168237
2H,16,21B,0.009367429
2H,16,16H,0.043364738
2H,16,20,0.011615074
2H,16,B2,0
2H,17,24,0.050800019
2H,17,15,0.53692304
2H,17,21,0.024951679
2H,17,18,0.090807778
2H,17,17,0
2H,17,23,0.030003267
2H,17,19,0.129861026
2H,17,B1,0.004478201
2H,17,22,0.001866484
2H,17,B3,0.008723304
2H,17,21B,0.008393224
2H,17,16H,0.088357698
2H,17,20,0.024703268
2H,17,B2,0.000131011
2H,18,24,0.073272866
2H,18,15,0.20167269
2H,18,21,0.038608563
2H,18,18,0
2H,18,17,0.280685293
2H,18,23,0.058746872
2H,18,19,0.211101844
2H,18,B1,0.004830414
2H,18,22,0.004720369
2H,18,B3,0.00745992
2H,18,21B,0.014943008
2H,18,16H,0.044481512
2H,18,20,0.059273932
2H,18,B2,0.000202715
2H,19,24,0.073758571
2H,19,15,0.209521836
2H,19,21,0.062937035
2H,19,18,0.140827393
2H,19,17,0.288316645
2H,19,23,0.050908236
2H,19,19,0
2H,19,B1,0.0064985
2H,19,22,0.006542328
2H,19,B3,0.017483395
2H,19,21B,0.023898223
2H,19,16H,0.018678705
2H,19,20,0.100406007
2H,19,B2,0.000223124
2H,20,24,0.090747008
2H,20,15,0.11822534
2H,20,21,0.121394965
2H,20,18,0.114469666
2H,20,17,0.149104416
2H,20,23,0.093768056
2H,20,19,0.225084606
2H,20,B1,0.008691704
2H,20,22,0.005918283
2H,20,B3,0.026817994
2H,20,21B,0.035014445
2H,20,16H,0.010301279
2H,20,20,0
2H,20,B2,0.000462237
2H,21,24,0.140821393
2H,21,15,0.14507133
2H,21,21,0
2H,21,18,0.049443816
2H,21,17,0.111087544
2H,21,23,0.206746481
2H,21,19,0.10959496
2H,21,B1,0.028901144
2H,21,22,0.019348605
2H,21,B3,0.025892408
2H,21,21B,0.03842226
2H,21,16H,0.009599673
2H,21,20,0.114386941
2H,21,B2,0.000683446
2H,21B,24,0.209512887
2H,21B,15,0.071684674
2H,21B,21,0.052417456
